segment_nr,representation_nr,start_time_msec,end_time_msec,delta_time_msec
1,6,1803,5485,3681
2,6,5485,10748,5262
3,6,10748,16289,5541
4,6,16289,22904,6614
5,6,22904,44853,21948
6,6,44853,76797,31943
7,6,76797,84383,7586
8,6,84384,89668,5283
9,6,89668,90858,1189
10,6,90859,91748,888
11,6,91749,92841,1092
12,6,92842,96087,3245
13,6,96088,102549,6461
14,6,102550,108981,6431
15,6,108982,116855,7873
16,6,116856,131137,14281
17,6,131138,148876,17737
18,6,148876,159264,10387
19,6,159268,180046,20778
20,6,180057,210532,30475
21,6,210533,217681,7148
22,6,217690,221348,3657
23,6,221348,224758,3409
24,6,224758,227707,2948
25,6,227707,233834,6126
26,6,233835,237262,3426
27,6,237262,239081,1818
28,6,239081,241639,2558
29,6,241640,242321,681
30,6,242322,242881,559
31,6,242882,243703,820
32,6,243714,244703,989
33,6,244704,246027,1322
34,6,246027,247644,1616
35,6,247645,249082,1437
36,6,249082,249877,794
37,6,249878,251030,1152
38,6,251041,255179,4137
39,6,255180,266901,11720
40,6,266901,281213,14311
41,6,281214,286837,5623
42,6,286838,289968,3130
43,6,289969,291035,1066
44,6,291046,292830,1783
45,6,292830,294592,1762
46,6,294593,297748,3154
47,6,297758,299127,1369
48,6,299130,301578,2447
49,6,301578,305025,3446
50,6,305026,309130,4104
51,6,309130,320953,11822
52,6,320954,330946,9992
53,6,330948,339861,8912
54,6,339861,346070,6208
55,6,346071,349114,3043
56,6,349115,351315,2200
57,6,351325,354218,2892
58,6,354229,356469,2240
59,6,356473,358933,2459
60,6,358934,363307,4372
61,6,363307,365822,2514
62,6,365823,367864,2041
63,6,367865,368750,884
64,6,368754,370386,1632
65,6,370387,371436,1049
66,6,371437,372596,1159
67,6,372604,373853,1249
68,6,373853,375426,1573
69,6,375427,376762,1334
70,6,376762,378482,1719
71,6,378482,379907,1425
72,6,379908,381797,1889
73,6,381808,382702,894
74,6,382703,383819,1115
75,6,383820,385137,1316
76,6,385138,387231,2093
77,6,387232,390834,3602
78,6,390835,394244,3408
79,6,394244,396419,2174
80,6,396420,398159,1739
81,6,398160,401454,3293
82,6,401463,404829,3366
83,6,404836,409191,4354
84,6,409191,412665,3473
85,6,412666,418605,5938
86,6,418615,419942,1326
87,6,419943,421495,1551
88,6,421496,423670,2174
89,6,423670,429123,5453
90,6,429124,431914,2790
91,6,431915,438502,6586
92,6,438502,455714,17211
93,6,455714,474005,18290
94,6,474005,486322,12316
95,6,486323,489249,2926
96,6,489250,490075,824
97,6,490076,494035,3959
98,6,494036,496619,2583
99,6,496620,498381,1761
100,6,498382,499359,976
101,6,499360,500697,1336
102,6,500699,501688,989
103,6,501688,502547,858
104,6,502548,504196,1648
105,6,504197,506319,2122
106,6,506320,509373,3053
107,6,509373,512730,3356
108,6,512731,513917,1186
109,6,513918,515222,1303
110,6,515223,516829,1606
111,6,516830,517661,831
112,6,517662,518485,822
113,6,518495,519918,1423
114,6,519919,522040,2121
115,6,522041,523713,1671
116,6,523715,524905,1189
117,6,524905,527147,2241
118,6,527147,529010,1862
119,6,529010,532175,3164
120,6,532176,533535,1358
121,6,533535,535161,1625
122,6,535172,548478,13306
123,6,548479,557883,9404
124,6,557884,563368,5483
125,6,563369,567792,4422
126,6,567793,570183,2390
127,6,570185,575674,5489
128,6,575674,582962,7287
129,6,582963,593486,10522
130,6,593486,610117,16630
131,6,610128,620215,10087
132,6,620225,623119,2893
133,6,623130,625147,2017
134,6,625148,627509,2360
135,6,627509,629167,1657
136,6,629167,633276,4108
137,6,633277,636663,3385
138,6,636663,638216,1552
139,6,638216,639651,1434
140,6,639651,642685,3033
141,6,642686,644642,1956
142,6,644643,645990,1346
143,6,645991,647129,1138
144,6,647140,647946,806
145,6,647947,648893,946
146,6,648895,649653,758
147,6,649653,651679,2025
148,6,651680,653586,1906
149,6,653587,656373,2785
150,6,656373,656414,40
