time_msec,throughput,current_buffer,current_playing_segment
376,82.9333,0,0
493,300.414,0,0
597,451.107,0,0
704,325.682,0,0
837,352,0,0
942,335.077,0,0
1044,341.647,0,0
1148,335.077,0,0
1251,341.647,0,0
1356,335.077,0,0
1460,338.33,0,0
1563,338.33,0,0
1666,341.647,0,0
1787,480,0,0
1915,89.5135,0,0
2039,377.756,0,0
2163,377.756,0,0
2287,377.756,0,0
2411,374.71,0,0
2536,374.71,0,0
2659,380.852,0,0
2783,374.71,0,0
2896,518.571,0,0
3009,411.186,0,0
3121,418.595,0,0
3234,411.186,0,0
3346,313.946,0,0
3457,422.4,0,0
3572,305.684,0,0
3681,426.275,0,0
3804,476.066,0,0
3924,390.454,0,0
4033,537.778,0,0
4139,438.34,0,0
4244,442.514,0,0
4348,451.107,0,0
4455,438.34,0,0
4558,451.107,0,0
4664,442.514,0,0
4768,451.107,0,0
4874,438.34,0,0
4978,446.769,0,0
5084,438.34,0,0
5186,575.05,0,0
5305,492.203,0,0
5425,484,0,0
5812,101.742,2,1
5921,1171.08,2,1
6033,414.857,2,1
6156,476.066,2,1
6276,585.681,2,1
6397,576,2,1
6509,523.243,2,1
6619,532.844,2,1
6730,523.243,2,1
6840,528,2,1
6950,528,2,1
7061,528,2,1
7171,528,2,1
7282,528,2,1
7390,645.333,2,1
7494,563.883,2,1
7596,569.412,2,1
7700,563.883,2,1
7802,569.412,2,1
7906,563.883,2,1
8009,569.412,2,1
8111,569.412,2,1
8214,569.412,2,1
8317,569.412,2,1
8420,563.883,2,1
8521,696.96,2,1
8637,600.828,2,1
8753,600.828,2,1
8874,580.8,2,1
8985,627.892,2,1
9101,600.828,2,1
9217,606.052,2,1
9333,600.828,2,1
9449,606.052,2,1
9564,606.052,2,1
9676,726,2,1
9785,645.333,2,1
9895,633.6,2,1
10004,645.333,2,1
10114,639.413,2,1
10222,645.333,2,1
10331,645.333,2,1
10441,639.413,2,1
10550,639.413,2,1
10659,645.333,2,1
10858,512.727,4,1
10961,683.294,4,1
11064,676.66,4,1
11167,683.294,4,1
11270,683.294,4,1
11373,676.66,4,1
11476,683.294,4,1
11579,676.66,4,1
11682,683.294,4,1
11785,676.66,4,1
11888,683.294,4,1
11989,805.069,4,1
12102,719.575,4,1
12216,719.575,4,1
12330,719.575,4,1
12445,713.263,4,1
12558,719.575,4,1
12672,719.575,4,1
12785,719.575,4,1
12900,713.263,4,1
13013,719.575,4,1
13124,837.189,4,1
13232,759.925,4,1
13343,732.541,4,1
13461,689.085,4,1
13572,739.2,4,1
13685,719.575,4,1
13791,774.4,4,1
13905,713.263,4,1
14018,726,4,1
14129,739.2,4,1
14238,745.982,4,1
14344,885.029,4,1
14448,781.846,4,1
14554,774.4,4,1
14661,759.925,4,1
14768,767.094,4,1
14869,805.069,4,1
14977,759.925,4,1
15080,789.437,4,1
15185,781.846,4,1
15289,781.846,4,1
15396,767.094,4,1
15496,929.28,4,1
15608,837.189,4,1
15719,837.189,4,1
15832,822.372,4,1
15940,1302.73,4,1
16052,837.189,4,1
16165,829.714,4,1
16276,837.189,4,1
16400,508.108,5.89,1
16511,950.4,5.781,1
16618,876.679,5.681,1
16726,860.444,5.572,1
16833,876.679,5.46,1
16940,868.486,5.351,1
17049,860.444,5.241,1
17156,868.486,5.14,1
17263,868.486,5.031,1
17370,868.486,4.921,1
17478,868.486,4.821,1
17586,868.486,4.711,1
17695,959.119,4.6,1
17804,860.444,4.491,1
17915,844.8,4.381,1
18024,852.55,4.271,1
18135,844.8,4.162,1
18244,860.444,4.051,1
18353,852.55,3.959,2
18466,829.714,3.847,2
18573,868.486,3.739,2
18682,852.55,3.63,2
18795,933.429,3.52,2
18896,805.069,3.42,2
18997,805.069,3.32,2
19112,815.158,3.199,2
19213,813.12,3.1,2
19314,813.12,2.999,2
19415,813.12,2.9,2
19516,805.069,2.8,2
19616,813.12,2.701,2
19718,805.069,2.599,2
19832,815.158,2.48,2
19938,885.029,2.379,2
20043,774.4,2.27,2
20149,774.4,2.16,2
20255,767.094,2.059,2
20361,767.094,1.961,3
20468,767.094,1.859,3
20573,774.4,1.75,3
20679,774.4,1.641,3
20786,767.094,1.541,3
20892,767.094,1.431,3
20998,774.4,1.331,3
21111,829.714,1.211,3
21222,732.541,1.101,3
21334,726,0.99,3
21452,694.974,0.87,3
21559,759.925,0.761,3
21671,732.541,0.651,3
21782,732.541,0.541,3
21895,726,0.431,3
22006,732.541,0.321,3
22119,726,0.201,3
22220,813.12,0.1,3
22322,690.059,0,3
22423,696.96,0,3
22525,683.294,0,3
22625,696.96,0,3
22727,690.059,0,3
22830,683.294,0,3
23018,190.726,1.9,4
23122,676.66,1.801,4
23238,707.061,1.68,4
23381,572.62,1.541,4
23494,622.286,1.42,4
23607,616.779,1.311,4
23717,639.413,1.201,4
23826,645.333,1.09,4
23936,639.413,0.981,4
24047,633.6,0.871,4
24155,645.333,0.76,4
24265,633.6,0.65,4
24375,639.413,0.54,4
24484,639.413,0.431,4
24601,700.966,0.32,4
24717,600.828,0.2,4
24834,600.828,0.091,4
24952,590.644,0,4
25069,600.828,0,4
25183,611.368,0,4
25298,606.052,0,4
25405,868.486,0,4
25614,111.158,0,4
25753,1093.33,0,4
25854,460.04,0,4
25955,575.05,0,4
26059,563.883,0,4
26162,563.883,0,4
26264,575.05,0,4
26372,537.778,0,4
26472,580.8,0,4
26573,575.05,0,4
26675,575.05,0,4
26781,657.509,0,4
26891,528,0,4
27003,523.243,0,4
27113,532.844,0,4
27224,523.243,0,4
27334,532.844,0,4
27444,528,0,4
27556,523.243,0,4
27665,532.844,0,4
27777,523.243,0,4
27890,616.779,0,4
28008,492.203,0,4
28128,484,0,4
28247,492.203,0,4
28368,484,0,4
28487,488.067,0,4
28607,488.067,0,4
28726,488.067,0,4
28846,488.067,0,4
28966,488.067,0,4
29069,563.883,0,4
29173,451.107,0,4
29277,446.769,0,4
29380,451.107,0,4
29485,446.769,0,4
29589,446.769,0,4
29694,446.769,0,4
29798,451.107,0,4
29903,442.514,0,4
30007,451.107,0,4
30111,451.107,0,4
30224,518.571,0,4
30337,411.186,0,4
30452,404.035,0,4
30568,404.035,0,4
30683,407.579,0,4
30796,411.186,0,4
30911,404.035,0,4
31027,404.035,0,4
31141,407.579,0,4
31256,407.579,0,4
31381,464.64,0,4
31508,365.858,0,4
31636,365.858,0,4
31762,368.762,0,4
31890,365.858,0,4
32017,365.858,0,4
32145,365.858,0,4
32272,368.762,0,4
32400,363,0,4
32503,455.529,0,4
32611,322.667,0,4
32716,331.886,0,4
32825,322.667,0,4
32932,325.682,0,4
33038,328.755,0,4
33145,325.682,0,4
33253,325.682,0,4
33361,322.667,0,4
33474,311.143,0,4
33583,319.706,0,4
33718,346.746,0,4
33844,276.571,0,4
33972,274.394,0,4
34090,295.322,0,4
34223,264,0,4
34356,262.015,0,4
34475,295.322,0,4
34601,276.571,0,4
34725,283.317,0,4
34870,320.441,0,4
35016,240.331,0,4
35160,243.692,0,4
35305,240.331,0,4
35447,247.149,0,4
35595,235.459,0,4
35740,240.331,0,4
35887,237.061,0,4
36002,305.684,0,4
36113,313.946,0,4
36224,211.2,0,4
36337,205.593,0,4
36452,203.789,0,4
36565,205.593,0,4
36678,205.593,0,4
36792,205.593,0,4
36906,205.593,0,4
37019,205.593,0,4
37175,224.826,0,4
37317,163.606,0,4
37461,161.333,0,4
37599,169.577,0,4
37740,164.766,0,4
37882,164.766,0,4
38023,164.766,0,4
38164,165.943,0,4
38332,207.429,0,4
38490,147.038,0,4
38647,147.975,0,4
38806,147.038,0,4
38964,147.038,0,4
39121,147.975,0,4
39280,147.038,0,4
39437,223.385,0,4
39592,149.884,0,4
39748,148.923,0,4
39904,149.884,0,4
40059,149.884,0,4
40216,148.923,0,4
40372,149.884,0,4
40527,226.286,0,4
40681,150.857,0,4
40835,151.843,0,4
40989,150.857,0,4
41143,151.843,0,4
41296,151.843,0,4
41451,150.857,0,4
41605,150.857,0,4
41757,230.781,0,4
41909,152.842,0,4
42061,152.842,0,4
42213,153.854,0,4
42365,153.854,0,4
42516,153.854,0,4
42669,152.842,0,4
42821,230.781,0,4
42972,153.854,0,4
43123,153.854,0,4
43273,154.88,0,4
43467,120.373,0,4
43619,153.854,0,4
43776,148.923,0,4
43930,150.857,0,4
44080,232.32,0,4
44231,153.854,0,4
44386,150.857,0,4
44530,162.462,0,4
44686,148.923,0,4
44840,150.857,0,4
44969,0,1.9,5
45116,67.5374,1.751,5
45257,164.766,1.61,5
45407,154.88,1.459,5
45557,155.919,1.31,5
45671,203.789,1.2,5
45818,158.041,1.051,5
45966,158.041,0.9,5
46116,154.88,0.75,5
46259,243.692,0.61,5
46406,159.123,0.46,5
46551,161.333,0.32,5
46697,159.123,0.17,5
46842,160.221,0.03,5
46988,160.221,0,5
47133,160.221,0,5
47279,160.221,0,5
47422,245.408,0,5
47566,161.333,0,5
47710,161.333,0,5
47854,162.462,0,5
47996,163.606,0,5
48142,160.221,0,5
48284,163.606,0,5
48435,232.32,0,5
48572,170.824,0,5
48713,165.943,0,5
48860,158.041,0,5
48999,168.348,0,5
49141,163.606,0,5
49283,164.766,0,5
49424,164.766,0,5
49567,163.606,0,5
49708,247.149,0,5
49850,164.766,0,5
49991,164.766,0,5
50132,165.943,0,5
50273,164.766,0,5
50415,164.766,0,5
50556,164.766,0,5
50697,165.943,0,5
50837,250.705,0,5
50976,167.137,0,5
51116,167.137,0,5
51256,167.137,0,5
51395,168.348,0,5
51535,165.943,0,5
51675,165.943,0,5
51814,168.348,0,5
51951,256.235,0,5
52089,168.348,0,5
52227,169.577,0,5
52366,167.137,0,5
52502,170.824,0,5
52642,167.137,0,5
52779,170.824,0,5
52917,169.577,0,5
53054,254.365,0,5
53191,170.824,0,5
53327,172.089,0,5
53488,144.298,0,5
53628,167.137,0,5
53769,165.943,0,5
53906,169.577,0,5
54046,165.943,0,5
54186,250.705,0,5
54322,172.089,0,5
54461,167.137,0,5
54597,170.824,0,5
54733,170.824,0,5
54873,167.137,0,5
55004,177.344,0,5
55145,165.943,0,5
55282,169.577,0,5
55421,252.522,0,5
55553,177.344,0,5
55690,169.577,0,5
55823,176,0,5
55972,233.879,0,5
56091,196.881,0,5
56223,176,0,5
56357,173.373,0,5
56489,266.015,0,5
56622,174.677,0,5
56755,176,0,5
56887,176,0,5
57020,174.677,0,5
57154,174.677,0,5
57285,177.344,0,5
57417,176,0,5
57550,176,0,5
57681,266.015,0,5
57812,177.344,0,5
57944,177.344,0,5
58075,177.344,0,5
58206,177.344,0,5
58337,178.708,0,5
58468,178.708,0,5
58599,177.344,0,5
58729,270.14,0,5
58859,178.708,0,5
58989,180.093,0,5
59118,180.093,0,5
59248,178.708,0,5
59378,180.093,0,5
59507,180.093,0,5
59637,180.093,0,5
59767,178.708,0,5
59896,272.25,0,5
60024,181.5,0,5
60153,181.5,0,5
60281,181.5,0,5
60409,182.929,0,5
60538,180.093,0,5
60666,182.929,0,5
60794,181.5,0,5
60923,181.5,0,5
61049,276.571,0,5
