segment_nr,representation_nr,bitrate,start_time_msec,end_time_msec,delta_time_msec
1,6,1636587,16289,18299,2009
2,6,1636587,18308,20309,2000
3,6,1636587,20319,22905,2585
4,6,1636587,22914,44853,21939
5,6,1636587,44862,76797,31934
6,6,1636587,76806,84385,7578
7,6,1636587,84393,89669,5275
8,6,1636587,89677,91687,2010
9,6,1636587,91697,93698,2000
10,6,1636587,93707,95708,2000
11,6,1636587,95718,97727,2009
12,6,1636587,97737,102550,4812
13,6,1636587,102559,108982,6422
14,6,1636587,108992,116857,7864
15,6,1636587,116865,131138,14273
16,6,1636587,131150,148876,17726
17,6,1636587,148885,159264,10378
18,6,1636587,159273,180046,20773
19,6,1636587,180055,210533,30477
20,6,1636587,210542,217682,7140
21,6,1636587,217691,221348,3656
22,6,1636587,221357,224758,3400
23,6,1636587,224768,227707,2939
24,6,1636587,227717,233835,6118
25,6,1636587,233844,237262,3417
26,6,1636587,237271,239281,2009
27,6,1636587,239292,241640,2348
28,6,1636587,241650,243650,2000
29,6,1636587,243659,245659,2000
30,6,1636587,245670,247670,2000
31,6,1636587,247679,249679,2000
32,6,1636587,249689,251689,2000
33,6,1636587,251699,253700,2001
34,6,1636587,253710,255719,2009
35,6,1636587,255729,257730,2000
36,6,1636587,257739,259740,2000
37,6,1636587,259749,261750,2001
38,6,1636587,261759,266901,5142
39,6,1636587,266911,281214,14303
40,6,1636587,281224,286838,5614
41,6,1636587,286846,289969,3122
42,6,1636587,289978,291987,2009
43,6,1636587,291998,293998,2000
44,6,1636587,294007,296007,2000
45,6,1636587,296018,298018,2000
46,6,1636587,298028,300028,2000
47,6,1636587,300038,302038,2000
48,6,1636587,302048,305026,2977
49,6,1636587,305035,309130,4095
50,6,1636587,309139,320954,11814
51,6,1636587,320962,330948,9986
52,6,1636587,330957,339862,8904
53,6,1636587,339871,346071,6199
54,6,1636587,346081,349115,3034
55,6,1636587,349124,351315,2191
56,6,1636587,351325,354218,2893
57,6,1636587,354228,356469,2241
58,6,1636587,356478,358934,2455
59,6,1636587,358943,363307,4364
60,6,1636587,363317,365822,2505
61,6,1636587,365831,367865,2034
62,6,1636587,367875,369884,2008
63,6,1636587,369894,371904,2010
64,6,1636587,371914,373924,2009
65,6,1636587,373934,375943,2009
66,6,1636587,375954,377964,2009
67,6,1636587,377973,379974,2000
68,6,1636587,379984,381984,2000
69,6,1636587,381993,384004,2010
70,6,1636587,384014,386024,2010
71,6,1636587,386035,388044,2009
72,6,1636587,388054,390064,2009
73,6,1636587,390074,392084,2009
74,6,1636587,392094,394104,2010
75,6,1636587,394114,396124,2009
76,6,1636587,396134,398135,2000
77,6,1636587,398144,400154,2009
78,6,1636587,400164,402164,2000
79,6,1636587,402175,404184,2009
80,6,1636587,404194,406195,2000
81,6,1636587,406207,408214,2007
82,6,1636587,408223,410224,2000
83,6,1636587,410233,412667,2433
84,6,1636587,412675,418605,5929
85,6,1636587,418614,420615,2000
86,6,1636587,420624,422625,2001
87,6,1636587,422634,424645,2010
88,6,1636587,424654,429125,4470
89,6,1636587,429133,431915,2782
90,6,1636587,431924,438502,6577
91,6,1636587,438511,455714,17202
92,6,1636587,455724,474006,18281
93,6,1636587,474015,486323,12308
94,6,1636587,486332,489251,2918
95,6,1636587,489259,491260,2001
96,6,1636587,491269,494036,2767
97,6,1636587,494046,496620,2574
98,6,1636587,496630,498640,2009
99,6,1636587,498649,500650,2000
100,6,1636587,500659,502660,2000
101,6,1636587,502669,504669,2000
102,6,1636587,504680,506680,2000
103,6,1636587,506689,508700,2010
104,6,1636587,508710,510710,2000
105,6,1636587,510719,512720,2001
106,6,1636587,512729,514729,2000
107,6,1636587,514739,516749,2009
108,6,1636587,516759,518760,2000
109,6,1636587,518770,520779,2009
110,6,1636587,520789,522789,2000
111,6,1636587,522800,524810,2010
112,6,1636587,524819,526819,2000
113,6,1636587,526830,528839,2009
114,6,1636587,528850,530860,2010
115,6,1636587,530869,532870,2000
116,6,1636587,532880,534889,2009
117,6,1636587,534900,536910,2010
118,6,1636587,536919,538929,2009
119,6,1636587,538939,540939,2000
120,6,1636587,540949,542959,2009
121,6,1636587,542969,548479,5509
122,6,1636587,548488,557884,9396
123,6,1636587,557894,563370,5475
124,6,1636587,563378,567793,4415
125,6,1636587,567802,570185,2382
126,6,1636587,570193,575674,5481
127,6,1636587,575684,582964,7280
128,6,1636587,582972,593487,10514
129,6,1636587,593496,610117,16621
130,6,1636587,610127,620215,10088
131,6,1636587,620225,623119,2894
132,6,1636587,623129,625148,2019
133,6,1636587,625158,627510,2351
134,6,1636587,627519,629529,2009
135,6,1636587,629539,633277,3737
136,6,1636587,633286,636663,3377
137,6,1636587,636672,638682,2010
138,6,1636587,638692,640693,2000
139,6,1636587,640702,642713,2010
140,6,1636587,642723,644732,2009
141,6,1636587,644742,646742,2000
142,6,1636587,646753,648762,2008
143,6,1636587,648773,650782,2009
144,6,1636587,650792,652802,2009
145,6,1636587,652813,654823,2009
146,6,1636587,654832,656832,2000
147,6,1636587,656843,658843,2000
148,6,1636587,658853,660853,2000
149,6,1636587,660862,662873,2010
