segment_nr,representation_nr,start_time_msec,end_time_msec,delta_time_msec
1,6,532,1512,980
2,6,1514,3643,2129
3,6,3649,7274,3625
4,6,7275,14880,7605
5,6,14880,23303,8422
6,6,23311,39135,15824
7,6,39135,49045,9909
8,6,49045,67691,18646
9,6,67702,79354,11652
10,6,79354,87548,8193
11,6,87559,96705,9146
12,6,96705,105987,9281
13,6,105987,114916,8928
14,6,114924,120946,6022
15,6,120947,127457,6509
16,6,127458,134193,6735
17,6,134194,140185,5991
18,6,140186,150315,10129
19,6,150315,158871,8556
20,6,158873,171967,13094
21,6,171967,179833,7865
22,6,179842,185844,6002
23,6,185845,195326,9481
24,6,195326,217367,22040
25,6,217374,244151,26777
26,6,244152,248525,4373
27,6,248526,250710,2183
28,6,250711,253369,2658
29,6,253370,254121,751
30,6,254122,254681,558
31,6,254681,255482,800
32,6,255482,256436,953
33,6,256436,257768,1331
34,6,257769,259379,1610
35,6,259380,260697,1317
36,6,260698,261371,673
37,6,261373,262274,900
38,6,262274,264620,2345
39,6,264621,269859,5237
40,6,269860,274490,4629
41,6,274493,277117,2624
42,6,277118,279321,2202
43,6,279331,280332,1000
44,6,280333,282360,2027
45,6,282361,285372,3010
46,6,285373,287531,2158
47,6,287532,288446,914
48,6,288447,289914,1467
49,6,289915,291643,1728
50,6,291644,293136,1491
51,6,293137,295573,2436
52,6,295574,298270,2696
53,6,298272,302899,4627
54,6,302900,306494,3593
55,6,306494,309433,2939
56,6,309434,312009,2574
57,6,312016,315529,3513
58,6,315530,318424,2893
59,6,318425,322769,4344
60,6,322770,342732,19962
61,6,342742,366087,23344
62,6,366087,374134,8046
63,6,374134,376641,2506
64,6,376643,379734,3091
65,6,379735,381380,1644
66,6,381380,383032,1651
67,6,383033,384634,1601
68,6,384635,386461,1825
69,6,386461,387943,1481
70,6,387943,389721,1777
71,6,389723,391148,1425
72,6,391150,393059,1908
73,6,393059,393984,924
74,6,393995,395111,1116
75,6,395112,396368,1255
76,6,396369,398132,1762
77,6,398133,400429,2295
78,6,400440,401706,1265
79,6,401717,402394,676
80,6,402394,403374,979
81,6,403375,405382,2007
82,6,405383,407029,1645
83,6,407031,408753,1722
84,6,408754,409461,707
85,6,409462,411242,1780
86,6,411243,411810,567
87,6,411811,412534,723
88,6,412535,413761,1226
89,6,413762,418235,4473
90,6,418235,422327,4091
91,6,422331,426582,4250
92,6,426584,431523,4939
93,6,431531,438111,6580
94,6,438112,446770,8657
95,6,446770,450297,3526
96,6,450297,451299,1001
97,6,451300,456967,5667
98,6,456968,462350,5381
99,6,462350,467445,5094
100,6,467445,473230,5784
101,6,473230,486993,13763
102,6,487003,496422,9418
103,6,496422,503705,7282
104,6,503705,510835,7130
105,6,510836,515281,4445
106,6,515291,519796,4504
107,6,519797,523855,4057
108,6,523855,525101,1245
109,6,525101,526439,1338
110,6,526440,528029,1588
111,6,528029,528795,766
112,6,528796,529618,822
113,6,529619,531037,1418
114,6,531037,533054,2016
115,6,533055,534417,1362
116,6,534418,535271,852
117,6,535271,536551,1280
118,6,536552,537367,814
119,6,537367,538256,888
120,6,538256,539026,770
121,6,539027,539951,923
122,6,539952,545311,5359
123,6,545312,548549,3237
124,6,548552,552079,3526
125,6,552080,557715,5634
126,6,557722,559621,1899
127,6,559622,562922,3300
128,6,562932,565683,2751
129,6,565683,567796,2112
130,6,567796,573286,5489
131,6,573286,579581,6295
132,6,579582,582693,3111
133,6,582694,585166,2472
134,6,585176,587900,2723
135,6,587900,590172,2272
136,6,590183,597981,7797
137,6,597981,616905,18923
138,6,616905,631922,15017
139,6,631929,643416,11486
140,6,643417,649913,6496
141,6,649913,653296,3382
142,6,653296,655149,1853
143,6,655150,656630,1479
144,6,656630,657593,962
145,6,657593,658693,1099
146,6,658694,659516,822
147,6,659524,661657,2133
148,6,661658,663709,2050
149,6,663709,666516,2806
150,6,666527,666572,44
