time_msec,throughput,current_buffer,current_playing_segment
267,542.462,0,0
372,1787.08,0,0
472,1742.4,0,0
639,426.514,0,0
745,1770.06,0,0
852,1753.36,0,0
957,1770.06,0,0
1057,1742.4,0,0
1163,1770.06,0,0
1269,1753.36,0,0
1377,1736.97,0,0
1480,1466.1,0,0
1654,72,2,1
1759,1327.54,2,1
1870,1372.8,2,1
1974,1340.31,2,1
2078,2029.98,2,1
2180,1610.14,2,1
2288,1613.33,2,1
2395,1643.77,2,1
2496,1610.14,2,1
2603,1628.41,2,1
2705,1480.47,2,1
2808,1480.47,2,1
2911,1480.47,2,1
3013,1480.47,2,1
3116,1480.47,2,1
3220,1466.1,2,1
3321,1495.13,2,1
3426,1452,2,1
3533,1095.85,2,1
3638,1452,2,1
3757,414.667,4,1
3857,1277.76,4,1
3964,1302.73,4,1
4067,1822.12,4,1
4172,1327.54,4,1
4278,1327.54,4,1
4384,1315.02,4,1
4489,1340.31,4,1
4593,1340.31,4,1
4699,1315.02,4,1
4805,1327.54,4,1
4905,1277.76,4,1
5013,1183.11,4,1
5122,1183.11,4,1
5230,1183.11,4,1
5339,1183.11,4,1
5443,1127.77,4,1
5544,920.079,4,1
5647,1138.82,4,1
5748,1161.6,4,1
5849,1150.1,4,1
5950,1161.6,4,1
6051,1161.6,4,1
6158,1411.29,4,1
6260,1024.94,4,1
6362,1024.94,4,1
6463,1045.44,4,1
6565,1035.09,4,1
6667,1024.94,4,1
6769,1035.09,4,1
6871,1024.94,4,1
6984,1027.96,4,1
7090,1106.29,4,1
7195,885.029,4,1
7380,537.143,5.901,1
7480,696.96,5.801,1
7594,822.372,5.691,1
7701,868.486,5.581,1
7810,852.55,5.471,1
7920,852.55,5.361,1
8025,1216.91,5.251,1
8131,885.029,5.151,1
8244,925.168,5.031,1
8356,732.541,4.921,1
8467,732.541,4.811,1
8577,745.982,4.701,1
8687,739.2,4.591,1
8799,732.541,4.481,1
8910,732.541,4.371,1
9021,732.541,4.261,1
9130,745.982,4.151,1
9242,732.541,4.04,1
9361,780.908,3.94,2
9484,472.195,3.81,2
9586,575.05,3.71,2
9688,569.412,3.61,2
9791,563.883,3.51,2
9913,571.279,3.389,2
10015,575.05,3.28,2
10132,794.256,3.17,2
10252,585.681,3.05,2
10370,590.644,2.931,2
10476,663.771,2.82,2
10583,438.34,2.72,2
10689,442.514,2.61,2
10795,438.34,2.5,2
10899,446.769,2.399,2
11006,438.34,2.29,2
11112,438.34,2.19,2
11218,442.514,2.08,2
11324,438.34,1.99,3
11430,442.514,1.88,3
11533,338.33,1.78,3
11643,422.4,1.67,3
11781,339.153,1.53,3
11904,283.317,1.4,3
12027,380.852,1.281,3
12147,292.84,1.161,3
12266,292.84,1.041,3
12385,292.84,0.92,3
12505,292.84,0.801,3
12624,295.322,0.681,3
12743,292.84,0.57,3
12848,1340.31,0.459,3
12955,986.264,0.35,3
13063,968,0.25,3
13171,977.047,0.141,3
13278,977.047,0.031,3
13385,986.264,0,3
13497,726,0,3
13605,977.047,0,3
13709,893.538,0,3
13820,950.4,0,3
13921,1045.44,0,3
14024,911.059,0,3
14131,1411.29,0,3
14241,959.119,0,3
14351,959.119,0,3
14460,959.119,0,3
14570,959.119,0,3
14681,950.4,0,3
14789,968,0,3
14984,209.243,1.911,4
15096,1037.14,1.8,4
15208,941.838,1.691,4
15320,933.429,1.571,4
15420,929.28,1.471,4
15522,690.059,1.371,4
15625,902.214,1.271,4
15728,902.214,1.171,4
15829,929.28,1.07,4
15929,1277.76,0.971,4
16042,933.429,0.85,4
16154,1037.14,0.741,4
16255,929.28,0.64,4
16357,911.059,0.541,4
16458,920.079,0.44,4
16560,920.079,0.332,4
16661,920.079,0.231,4
16763,911.059,0.131,4
16864,929.28,0.031,4
16966,911.059,0,4
17069,911.059,0,4
17170,929.28,0,4
17271,920.079,0,4
17374,1014.99,0,4
17490,707.061,0,4
17597,868.486,0,4
17704,868.486,0,4
17813,860.444,0,4
17920,868.486,0,4
18022,1252.71,0,4
18126,902.214,0,4
18229,911.059,0,4
18333,893.538,0,4
18439,995.657,0,4
18544,885.029,0,4
18651,876.679,0,4
18756,885.029,0,4
18863,876.679,0,4
18969,885.029,0,4
19074,885.029,0,4
19180,885.029,0,4
19286,876.679,0,4
19393,876.679,0,4
19497,676.66,0,4
19611,917.053,0,4
19721,844.8,0,4
19833,829.714,0,4
19945,837.189,0,4
20049,893.538,0,4
20162,1130.76,0,4
20271,852.55,0,4
20380,860.444,0,4
20488,868.486,0,4
20596,860.444,0,4
20706,959.119,0,4
20817,837.189,0,4
20928,844.8,0,4
21040,837.189,0,4
21150,844.8,0,4
21261,844.8,0,4
21363,805.069,0,4
21474,732.541,0,4
21580,774.4,0,4
21693,829.714,0,4
21794,805.069,0,4
21895,920.079,0,4
21997,797.176,0,4
22100,1138.82,0,4
22214,822.372,0,4
22326,829.714,0,4
22440,822.372,0,4
22554,822.372,0,4
22667,822.372,0,4
22780,822.372,0,4
22894,815.158,0,4
22995,929.28,0,4
23097,805.069,0,4
23199,805.069,0,4
23300,805.069,0,4
23420,199.481,1.9,5
23531,627.892,1.79,5
23635,781.846,1.68,5
23742,767.094,1.57,5
23848,774.4,1.47,5
23953,774.4,1.36,5
24057,1116.92,1.261,5
24169,732.541,1.15,5
24279,633.6,1.04,5
24390,627.892,0.929,5
24501,633.6,0.821,5
24612,627.892,0.71,5
24722,633.6,0.598,5
24833,633.6,0.48,5
24944,627.892,0.37,5
25055,627.892,0.26,5
25165,639.413,0.15,5
25289,566.634,0.03,5
25394,442.514,0,5
25498,335.077,0,5
25603,442.514,0,5
25714,418.595,0,5
25820,442.514,0,5
